,district,Year,month,Visitors,district_1
385,Bhadradri Kothagudem ,2018,April,341258,Bhadradri Kothagudem 
495,Bhadradri Kothagudem ,2018,May,291273,Bhadradri Kothagudem 
165,Bhadradri Kothagudem ,2018,February,240634,Bhadradri Kothagudem 
715,Bhadradri Kothagudem ,2018,July,220304,Bhadradri Kothagudem 
605,Bhadradri Kothagudem ,2018,June,290512,Bhadradri Kothagudem 
825,Bhadradri Kothagudem ,2018,August,219548,Bhadradri Kothagudem 
935,Bhadradri Kothagudem ,2018,September,334878,Bhadradri Kothagudem 
1265,Bhadradri Kothagudem ,2018,December,442483,Bhadradri Kothagudem 
55,Bhadradri Kothagudem ,2018,January,421275,Bhadradri Kothagudem 
496,Hyderabad,2018,May,1189492,Hyderabad
826,Hyderabad,2018,August,1591470,Hyderabad
276,Hyderabad,2018,March,1415938,Hyderabad
936,Hyderabad,2018,September,1508086,Hyderabad
1046,Hyderabad,2018,October,2207478,Hyderabad
1156,Hyderabad,2018,November,1671320,Hyderabad
606,Hyderabad,2018,June,1595067,Hyderabad
716,Hyderabad,2018,July,1470042,Hyderabad
166,Hyderabad,2018,February,1365837,Hyderabad
56,Hyderabad,2018,January,1978396,Hyderabad
386,Hyderabad,2018,April,1586375,Hyderabad
1266,Hyderabad,2018,December,1964150,Hyderabad
1267,Jagtial ,2018,December,231323,Jagtial 
277,Jagtial ,2018,March,416716,Jagtial 
497,Jagtial ,2018,May,641363,Jagtial 
607,Jagtial ,2018,June,182505,Jagtial 
1157,Jagtial ,2018,November,277997,Jagtial 
387,Jagtial ,2018,April,372874,Jagtial 
827,Jagtial ,2018,August,272685,Jagtial 
167,Jagtial ,2018,February,349576,Jagtial 
57,Jagtial ,2018,January,614082,Jagtial 
717,Jagtial ,2018,July,182473,Jagtial 
1047,Jagtial ,2018,October,138206,Jagtial 
937,Jagtial ,2018,September,273121,Jagtial 
608,Jangaon ,2018,June,23050,Jangaon 
1158,Jangaon ,2018,November,29570,Jangaon 
168,Jangaon ,2018,February,18600,Jangaon 
58,Jangaon ,2018,January,17180,Jangaon 
498,Jangaon ,2018,May,19660,Jangaon 
938,Jangaon ,2018,September,28830,Jangaon 
278,Jangaon ,2018,March,17300,Jangaon 
828,Jangaon ,2018,August,26020,Jangaon 
718,Jangaon ,2018,July,26280,Jangaon 
1268,Jangaon ,2018,December,36962,Jangaon 
388,Jangaon ,2018,April,18100,Jangaon 
1048,Jangaon ,2018,October,29470,Jangaon 
939,Jayashankar Bhoopalpally,2018,September,192300,Jayashankar Bhoopalpally
389,Jayashankar Bhoopalpally,2018,April,149150,Jayashankar Bhoopalpally
1049,Jayashankar Bhoopalpally,2018,October,195400,Jayashankar Bhoopalpally
169,Jayashankar Bhoopalpally,2018,February,8626250,Jayashankar Bhoopalpally
609,Jayashankar Bhoopalpally,2018,June,159400,Jayashankar Bhoopalpally
1269,Jayashankar Bhoopalpally,2018,December,245625,Jayashankar Bhoopalpally
279,Jayashankar Bhoopalpally,2018,March,146150,Jayashankar Bhoopalpally
829,Jayashankar Bhoopalpally,2018,August,184700,Jayashankar Bhoopalpally
499,Jayashankar Bhoopalpally,2018,May,152050,Jayashankar Bhoopalpally
719,Jayashankar Bhoopalpally,2018,July,128550,Jayashankar Bhoopalpally
59,Jayashankar Bhoopalpally,2018,January,6519850,Jayashankar Bhoopalpally
1159,Jayashankar Bhoopalpally,2018,November,196500,Jayashankar Bhoopalpally
390,Jogulamba Gadwal ,2018,April,138673,Jogulamba Gadwal 
610,Jogulamba Gadwal ,2018,June,160182,Jogulamba Gadwal 
940,Jogulamba Gadwal ,2018,September,121710,Jogulamba Gadwal 
1160,Jogulamba Gadwal ,2018,November,128075,Jogulamba Gadwal 
720,Jogulamba Gadwal ,2018,July,114951,Jogulamba Gadwal 
1270,Jogulamba Gadwal ,2018,December,182333,Jogulamba Gadwal 
280,Jogulamba Gadwal ,2018,March,155013,Jogulamba Gadwal 
1050,Jogulamba Gadwal ,2018,October,152898,Jogulamba Gadwal 
60,Jogulamba Gadwal ,2018,January,146441,Jogulamba Gadwal 
830,Jogulamba Gadwal ,2018,August,123733,Jogulamba Gadwal 
170,Jogulamba Gadwal ,2018,February,481110,Jogulamba Gadwal 
500,Jogulamba Gadwal ,2018,May,131426,Jogulamba Gadwal 
611,Kamareddy ,2018,June,56,Kamareddy 
61,Kamareddy ,2018,January,44,Kamareddy 
1161,Kamareddy ,2018,November,41,Kamareddy 
831,Kamareddy ,2018,August,55,Kamareddy 
721,Kamareddy ,2018,July,48,Kamareddy 
1271,Kamareddy ,2018,December,43,Kamareddy 
171,Kamareddy ,2018,February,44,Kamareddy 
941,Kamareddy ,2018,September,40,Kamareddy 
1051,Kamareddy ,2018,October,62,Kamareddy 
391,Kamareddy ,2018,April,45,Kamareddy 
281,Kamareddy ,2018,March,45,Kamareddy 
501,Kamareddy ,2018,May,49,Kamareddy 
172,Karimnagar ,2018,February,9330,Karimnagar 
1272,Karimnagar ,2018,December,7800,Karimnagar 
392,Karimnagar ,2018,April,5830,Karimnagar 
282,Karimnagar ,2018,March,7205,Karimnagar 
62,Karimnagar ,2018,January,13505,Karimnagar 
502,Karimnagar ,2018,May,5689,Karimnagar 
1162,Karimnagar ,2018,November,7145,Karimnagar 
942,Karimnagar ,2018,September,8480,Karimnagar 
612,Karimnagar ,2018,June,7180,Karimnagar 
722,Karimnagar ,2018,July,6686,Karimnagar 
1052,Karimnagar ,2018,October,6118,Karimnagar 
832,Karimnagar ,2018,August,8480,Karimnagar 
943,Khammam,2018,September,143465,Khammam
1053,Khammam,2018,October,127645,Khammam
723,Khammam,2018,July,85932,Khammam
1163,Khammam,2018,November,99070,Khammam
393,Khammam,2018,April,126553,Khammam
283,Khammam,2018,March,127152,Khammam
503,Khammam,2018,May,135189,Khammam
833,Khammam,2018,August,86309,Khammam
173,Khammam,2018,February,104444,Khammam
1273,Khammam,2018,December,135600,Khammam
63,Khammam,2018,January,110094,Khammam
613,Khammam,2018,June,135988,Khammam
1274,Komaram Bheem Asifabad,2018,December,2176,Komaram Bheem Asifabad
1054,Komaram Bheem Asifabad,2018,October,2525,Komaram Bheem Asifabad
174,Komaram Bheem Asifabad,2018,February,2736,Komaram Bheem Asifabad
64,Komaram Bheem Asifabad,2018,January,2863,Komaram Bheem Asifabad
284,Komaram Bheem Asifabad,2018,March,1826,Komaram Bheem Asifabad
504,Komaram Bheem Asifabad,2018,May,793,Komaram Bheem Asifabad
834,Komaram Bheem Asifabad,2018,August,2263,Komaram Bheem Asifabad
1164,Komaram Bheem Asifabad,2018,November,1741,Komaram Bheem Asifabad
944,Komaram Bheem Asifabad,2018,September,1819,Komaram Bheem Asifabad
724,Komaram Bheem Asifabad,2018,July,1954,Komaram Bheem Asifabad
614,Komaram Bheem Asifabad,2018,June,990,Komaram Bheem Asifabad
394,Komaram Bheem Asifabad,2018,April,868,Komaram Bheem Asifabad
725,Mahabubabad ,2018,July,13970,Mahabubabad 
505,Mahabubabad ,2018,May,12865,Mahabubabad 
175,Mahabubabad ,2018,February,14230,Mahabubabad 
1055,Mahabubabad ,2018,October,13550,Mahabubabad 
835,Mahabubabad ,2018,August,13200,Mahabubabad 
945,Mahabubabad ,2018,September,13420,Mahabubabad 
395,Mahabubabad ,2018,April,12915,Mahabubabad 
65,Mahabubabad ,2018,January,14000,Mahabubabad 
1165,Mahabubabad ,2018,November,13700,Mahabubabad 
615,Mahabubabad ,2018,June,13910,Mahabubabad 
1275,Mahabubabad ,2018,December,17125,Mahabubabad 
285,Mahabubabad ,2018,March,13110,Mahabubabad 
506,Mahbubnagar,2018,May,193478,Mahbubnagar
946,Mahbubnagar,2018,September,167833,Mahbubnagar
1276,Mahbubnagar,2018,December,198227,Mahbubnagar
1166,Mahbubnagar,2018,November,295910,Mahbubnagar
836,Mahbubnagar,2018,August,169154,Mahbubnagar
726,Mahbubnagar,2018,July,161841,Mahbubnagar
176,Mahbubnagar,2018,February,788083,Mahbubnagar
1056,Mahbubnagar,2018,October,193152,Mahbubnagar
616,Mahbubnagar,2018,June,165553,Mahbubnagar
66,Mahbubnagar,2018,January,156153,Mahbubnagar
396,Mahbubnagar,2018,April,196061,Mahbubnagar
286,Mahbubnagar,2018,March,166863,Mahbubnagar
617,Mancherial,2018,June,31667,Mancherial
507,Mancherial,2018,May,26179,Mancherial
177,Mancherial,2018,February,38599,Mancherial
67,Mancherial,2018,January,71955,Mancherial
287,Mancherial,2018,March,20749,Mancherial
1057,Mancherial,2018,October,30740,Mancherial
397,Mancherial,2018,April,38483,Mancherial
1277,Mancherial,2018,December,31496,Mancherial
1167,Mancherial,2018,November,25197,Mancherial
947,Mancherial,2018,September,23141,Mancherial
837,Mancherial,2018,August,31861,Mancherial
727,Mancherial,2018,July,27937,Mancherial
178,Medak ,2018,February,1000000,Medak 
838,Medak ,2018,August,50000,Medak 
1168,Medak ,2018,November,200000,Medak 
68,Medak ,2018,January,100000,Medak 
618,Medak ,2018,June,500000,Medak 
1278,Medak ,2018,December,400000,Medak 
508,Medak ,2018,May,300000,Medak 
1058,Medak ,2018,October,300000,Medak 
728,Medak ,2018,July,150000,Medak 
398,Medak ,2018,April,200000,Medak 
288,Medak ,2018,March,600000,Medak 
948,Medak ,2018,September,100000,Medak 
839,Nagarkurnool ,2018,August,118010,Nagarkurnool 
289,Nagarkurnool ,2018,March,184508,Nagarkurnool 
619,Nagarkurnool ,2018,June,180010,Nagarkurnool 
399,Nagarkurnool ,2018,April,174592,Nagarkurnool 
69,Nagarkurnool ,2018,January,228812,Nagarkurnool 
729,Nagarkurnool ,2018,July,93450,Nagarkurnool 
179,Nagarkurnool ,2018,February,286258,Nagarkurnool 
1059,Nagarkurnool ,2018,October,201050,Nagarkurnool 
509,Nagarkurnool ,2018,May,183697,Nagarkurnool 
1169,Nagarkurnool ,2018,November,121452,Nagarkurnool 
1279,Nagarkurnool ,2018,December,198637,Nagarkurnool 
949,Nagarkurnool ,2018,September,118449,Nagarkurnool 
290,Nalgonda,2018,March,9677,Nalgonda
1280,Nalgonda,2018,December,6777,Nalgonda
730,Nalgonda,2018,July,9668,Nalgonda
950,Nalgonda,2018,September,21365,Nalgonda
400,Nalgonda,2018,April,9779,Nalgonda
70,Nalgonda,2018,January,36205,Nalgonda
1170,Nalgonda,2018,November,5422,Nalgonda
180,Nalgonda,2018,February,9971,Nalgonda
1060,Nalgonda,2018,October,22332,Nalgonda
840,Nalgonda,2018,August,10135,Nalgonda
620,Nalgonda,2018,June,9066,Nalgonda
510,Nalgonda,2018,May,10241,Nalgonda
511,Nirmal,2018,May,342650,Nirmal
181,Nirmal,2018,February,335447,Nirmal
1171,Nirmal,2018,November,289169,Nirmal
71,Nirmal,2018,January,480241,Nirmal
951,Nirmal,2018,September,293859,Nirmal
621,Nirmal,2018,June,355197,Nirmal
1061,Nirmal,2018,October,373291,Nirmal
1281,Nirmal,2018,December,361461,Nirmal
291,Nirmal,2018,March,328099,Nirmal
731,Nirmal,2018,July,335356,Nirmal
401,Nirmal,2018,April,368645,Nirmal
841,Nirmal,2018,August,313910,Nirmal
1282,Nizamabad,2018,December,355,Nizamabad
952,Nizamabad,2018,September,475,Nizamabad
512,Nizamabad,2018,May,5360,Nizamabad
1062,Nizamabad,2018,October,490,Nizamabad
72,Nizamabad,2018,January,2495,Nizamabad
732,Nizamabad,2018,July,5882,Nizamabad
182,Nizamabad,2018,February,7152,Nizamabad
402,Nizamabad,2018,April,3550,Nizamabad
622,Nizamabad,2018,June,1761,Nizamabad
842,Nizamabad,2018,August,10525,Nizamabad
1172,Nizamabad,2018,November,475,Nizamabad
292,Nizamabad,2018,March,2903,Nizamabad
513,Peddapalli,2018,May,1499,Peddapalli
73,Peddapalli,2018,January,2670,Peddapalli
1283,Peddapalli,2018,December,1695,Peddapalli
183,Peddapalli,2018,February,2695,Peddapalli
1063,Peddapalli,2018,October,1545,Peddapalli
403,Peddapalli,2018,April,1940,Peddapalli
623,Peddapalli,2018,June,1580,Peddapalli
843,Peddapalli,2018,August,1595,Peddapalli
953,Peddapalli,2018,September,1475,Peddapalli
733,Peddapalli,2018,July,1580,Peddapalli
293,Peddapalli,2018,March,2325,Peddapalli
1173,Peddapalli,2018,November,1655,Peddapalli
514,Rajanna Sircilla ,2018,May,1021952,Rajanna Sircilla 
1064,Rajanna Sircilla ,2018,October,506563,Rajanna Sircilla 
74,Rajanna Sircilla ,2018,January,2238074,Rajanna Sircilla 
294,Rajanna Sircilla ,2018,March,1022669,Rajanna Sircilla 
954,Rajanna Sircilla ,2018,September,818693,Rajanna Sircilla 
624,Rajanna Sircilla ,2018,June,320886,Rajanna Sircilla 
184,Rajanna Sircilla ,2018,February,1021787,Rajanna Sircilla 
1284,Rajanna Sircilla ,2018,December,950128,Rajanna Sircilla 
844,Rajanna Sircilla ,2018,August,320952,Rajanna Sircilla 
404,Rajanna Sircilla ,2018,April,833874,Rajanna Sircilla 
734,Rajanna Sircilla ,2018,July,937720,Rajanna Sircilla 
1174,Rajanna Sircilla ,2018,November,840933,Rajanna Sircilla 
735,Sangareddy ,2018,July,108600,Sangareddy 
1175,Sangareddy ,2018,November,160000,Sangareddy 
185,Sangareddy ,2018,February,540000,Sangareddy 
75,Sangareddy ,2018,January,254000,Sangareddy 
295,Sangareddy ,2018,March,158500,Sangareddy 
625,Sangareddy ,2018,June,93500,Sangareddy 
405,Sangareddy ,2018,April,162500,Sangareddy 
1065,Sangareddy ,2018,October,171800,Sangareddy 
955,Sangareddy ,2018,September,125000,Sangareddy 
1285,Sangareddy ,2018,December,134000,Sangareddy 
515,Sangareddy ,2018,May,157000,Sangareddy 
845,Sangareddy ,2018,August,205000,Sangareddy 
956,Siddipet,2018,September,55000,Siddipet
626,Siddipet,2018,June,104300,Siddipet
516,Siddipet,2018,May,165200,Siddipet
846,Siddipet,2018,August,100000,Siddipet
1176,Siddipet,2018,November,135000,Siddipet
736,Siddipet,2018,July,54000,Siddipet
186,Siddipet,2018,February,44000,Siddipet
76,Siddipet,2018,January,253000,Siddipet
1286,Siddipet,2018,December,50000,Siddipet
406,Siddipet,2018,April,115000,Siddipet
1066,Siddipet,2018,October,43000,Siddipet
296,Siddipet,2018,March,164800,Siddipet
407,Wanaparthy ,2018,April,10550,Wanaparthy 
77,Wanaparthy ,2018,January,28131,Wanaparthy 
297,Wanaparthy ,2018,March,20050,Wanaparthy 
847,Wanaparthy ,2018,August,35860,Wanaparthy 
1177,Wanaparthy ,2018,November,32657,Wanaparthy 
627,Wanaparthy ,2018,June,19092,Wanaparthy 
1067,Wanaparthy ,2018,October,21234,Wanaparthy 
187,Wanaparthy ,2018,February,22341,Wanaparthy 
1287,Wanaparthy ,2018,December,20556,Wanaparthy 
517,Wanaparthy ,2018,May,11502,Wanaparthy 
957,Wanaparthy ,2018,September,32002,Wanaparthy 
737,Wanaparthy ,2018,July,32625,Wanaparthy 
518,Warangal (Rural),2018,May,22100,Warangal (Rural)
628,Warangal (Rural),2018,June,23100,Warangal (Rural)
78,Warangal (Rural),2018,January,25200,Warangal (Rural)
188,Warangal (Rural),2018,February,26300,Warangal (Rural)
1288,Warangal (Rural),2018,December,30062,Warangal (Rural)
1178,Warangal (Rural),2018,November,24050,Warangal (Rural)
848,Warangal (Rural),2018,August,25700,Warangal (Rural)
958,Warangal (Rural),2018,September,25800,Warangal (Rural)
408,Warangal (Rural),2018,April,21600,Warangal (Rural)
298,Warangal (Rural),2018,March,26200,Warangal (Rural)
1068,Warangal (Rural),2018,October,26000,Warangal (Rural)
738,Warangal (Rural),2018,July,25900,Warangal (Rural)
1069,Warangal (Urban),2018,October,140948,Hanumakonda
1289,Warangal (Urban),2018,December,180643,Hanumakonda
849,Warangal (Urban),2018,August,136760,Hanumakonda
189,Warangal (Urban),2018,February,145750,Hanumakonda
1179,Warangal (Urban),2018,November,144515,Hanumakonda
519,Warangal (Urban),2018,May,143425,Hanumakonda
629,Warangal (Urban),2018,June,135615,Hanumakonda
959,Warangal (Urban),2018,September,138780,Hanumakonda
409,Warangal (Urban),2018,April,142510,Hanumakonda
739,Warangal (Urban),2018,July,136560,Hanumakonda
79,Warangal (Urban),2018,January,137530,Hanumakonda
299,Warangal (Urban),2018,March,140300,Hanumakonda
630,Yadadri Bhongir,2018,June,577570,Yadadri Bhongir
1180,Yadadri Bhongir,2018,November,485208,Yadadri Bhongir
1070,Yadadri Bhongir,2018,October,586475,Yadadri Bhongir
520,Yadadri Bhongir,2018,May,781842,Yadadri Bhongir
1290,Yadadri Bhongir,2018,December,606510,Yadadri Bhongir
190,Yadadri Bhongir,2018,February,3073872,Yadadri Bhongir
410,Yadadri Bhongir,2018,April,692370,Yadadri Bhongir
300,Yadadri Bhongir,2018,March,2836580,Yadadri Bhongir
740,Yadadri Bhongir,2018,July,671156,Yadadri Bhongir
960,Yadadri Bhongir,2018,September,819350,Yadadri Bhongir
80,Yadadri Bhongir,2018,January,2016000,Yadadri Bhongir
850,Yadadri Bhongir,2018,August,526445,Yadadri Bhongir
631,Adilabad,2019,June,9161,Adilabad
191,Adilabad,2019,February,406177,Adilabad
961,Adilabad,2019,September,37589,Adilabad
1291,Adilabad,2019,December,38089,Adilabad
851,Adilabad,2019,August,108173,Adilabad
1071,Adilabad,2019,October,38184,Adilabad
521,Adilabad,2019,May,6997,Adilabad
1181,Adilabad,2019,November,70344,Adilabad
301,Adilabad,2019,March,14347,Adilabad
741,Adilabad,2019,July,11791,Adilabad
411,Adilabad,2019,April,9972,Adilabad
81,Adilabad,2019,January,25071,Adilabad
1182,Bhadradri Kothagudem ,2019,November,298366,Bhadradri Kothagudem 
82,Bhadradri Kothagudem ,2019,January,283365,Bhadradri Kothagudem 
1292,Bhadradri Kothagudem ,2019,December,287328,Bhadradri Kothagudem 
302,Bhadradri Kothagudem ,2019,March,225448,Bhadradri Kothagudem 
192,Bhadradri Kothagudem ,2019,February,229159,Bhadradri Kothagudem 
852,Bhadradri Kothagudem ,2019,August,271941,Bhadradri Kothagudem 
962,Bhadradri Kothagudem ,2019,September,314199,Bhadradri Kothagudem 
522,Bhadradri Kothagudem ,2019,May,275800,Bhadradri Kothagudem 
632,Bhadradri Kothagudem ,2019,June,9761776,Bhadradri Kothagudem 
742,Bhadradri Kothagudem ,2019,July,233338,Bhadradri Kothagudem 
1072,Bhadradri Kothagudem ,2019,October,287432,Bhadradri Kothagudem 
412,Bhadradri Kothagudem ,2019,April,349585,Bhadradri Kothagudem 
83,Hyderabad,2019,January,1426500,Hyderabad
303,Hyderabad,2019,March,1009991,Hyderabad
413,Hyderabad,2019,April,1045933,Hyderabad
633,Hyderabad,2019,June,1262995,Hyderabad
