,district,Year,month,Visitors
54,Adilabad,2018,January,320356
164,Adilabad,2018,February,36550
274,Adilabad,2018,March,23011
384,Adilabad,2018,April,14183
494,Adilabad,2018,May,8197
604,Adilabad,2018,June,12052
714,Adilabad,2018,July,24666
824,Adilabad,2018,August,38939
934,Adilabad,2018,September,25875
1044,Adilabad,2018,October,30257
1154,Adilabad,2018,November,49181
1264,Adilabad,2018,December,61476
55,Bhadradri Kothagudem ,2018,January,421275
165,Bhadradri Kothagudem ,2018,February,240634
275,Bhadradri Kothagudem ,2018,March,421275
385,Bhadradri Kothagudem ,2018,April,341258
495,Bhadradri Kothagudem ,2018,May,291273
605,Bhadradri Kothagudem ,2018,June,290512
715,Bhadradri Kothagudem ,2018,July,220304
825,Bhadradri Kothagudem ,2018,August,219548
935,Bhadradri Kothagudem ,2018,September,334878
1045,Bhadradri Kothagudem ,2018,October,322974
1155,Bhadradri Kothagudem ,2018,November,253464
1265,Bhadradri Kothagudem ,2018,December,442483
56,Hyderabad,2018,January,1978396
166,Hyderabad,2018,February,1365837
276,Hyderabad,2018,March,1415938
386,Hyderabad,2018,April,1586375
496,Hyderabad,2018,May,1189492
606,Hyderabad,2018,June,1595067
716,Hyderabad,2018,July,1470042
826,Hyderabad,2018,August,1591470
936,Hyderabad,2018,September,1508086
1046,Hyderabad,2018,October,2207478
1156,Hyderabad,2018,November,1671320
1266,Hyderabad,2018,December,1964150
57,Jagtial ,2018,January,614082
167,Jagtial ,2018,February,349576
277,Jagtial ,2018,March,416716
387,Jagtial ,2018,April,372874
497,Jagtial ,2018,May,641363
607,Jagtial ,2018,June,182505
717,Jagtial ,2018,July,182473
827,Jagtial ,2018,August,272685
937,Jagtial ,2018,September,273121
1047,Jagtial ,2018,October,138206
1157,Jagtial ,2018,November,277997
1267,Jagtial ,2018,December,231323
58,Jangaon ,2018,January,17180
168,Jangaon ,2018,February,18600
278,Jangaon ,2018,March,17300
388,Jangaon ,2018,April,18100
498,Jangaon ,2018,May,19660
608,Jangaon ,2018,June,23050
718,Jangaon ,2018,July,26280
828,Jangaon ,2018,August,26020
938,Jangaon ,2018,September,28830
1048,Jangaon ,2018,October,29470
1158,Jangaon ,2018,November,29570
1268,Jangaon ,2018,December,36962
59,Jayashankar Bhoopalpally,2018,January,6519850
169,Jayashankar Bhoopalpally,2018,February,8626250
279,Jayashankar Bhoopalpally,2018,March,146150
389,Jayashankar Bhoopalpally,2018,April,149150
499,Jayashankar Bhoopalpally,2018,May,152050
609,Jayashankar Bhoopalpally,2018,June,159400
719,Jayashankar Bhoopalpally,2018,July,128550
829,Jayashankar Bhoopalpally,2018,August,184700
939,Jayashankar Bhoopalpally,2018,September,192300
1049,Jayashankar Bhoopalpally,2018,October,195400
1159,Jayashankar Bhoopalpally,2018,November,196500
1269,Jayashankar Bhoopalpally,2018,December,245625
60,Jogulamba Gadwal ,2018,January,146441
170,Jogulamba Gadwal ,2018,February,481110
280,Jogulamba Gadwal ,2018,March,155013
390,Jogulamba Gadwal ,2018,April,138673
500,Jogulamba Gadwal ,2018,May,131426
610,Jogulamba Gadwal ,2018,June,160182
720,Jogulamba Gadwal ,2018,July,114951
830,Jogulamba Gadwal ,2018,August,123733
940,Jogulamba Gadwal ,2018,September,121710
1050,Jogulamba Gadwal ,2018,October,152898
1160,Jogulamba Gadwal ,2018,November,128075
1270,Jogulamba Gadwal ,2018,December,182333
61,Kamareddy ,2018,January,44
171,Kamareddy ,2018,February,44
281,Kamareddy ,2018,March,45
391,Kamareddy ,2018,April,45
501,Kamareddy ,2018,May,49
611,Kamareddy ,2018,June,56
721,Kamareddy ,2018,July,48
831,Kamareddy ,2018,August,55
941,Kamareddy ,2018,September,40
1051,Kamareddy ,2018,October,62
1161,Kamareddy ,2018,November,41
1271,Kamareddy ,2018,December,43
62,Karimnagar ,2018,January,13505
172,Karimnagar ,2018,February,9330
282,Karimnagar ,2018,March,7205
392,Karimnagar ,2018,April,5830
502,Karimnagar ,2018,May,5689
612,Karimnagar ,2018,June,7180
722,Karimnagar ,2018,July,6686
832,Karimnagar ,2018,August,8480
942,Karimnagar ,2018,September,8480
1052,Karimnagar ,2018,October,6118
1162,Karimnagar ,2018,November,7145
1272,Karimnagar ,2018,December,7800
63,Khammam,2018,January,110094
173,Khammam,2018,February,104444
283,Khammam,2018,March,127152
393,Khammam,2018,April,126553
503,Khammam,2018,May,135189
613,Khammam,2018,June,135988
723,Khammam,2018,July,85932
833,Khammam,2018,August,86309
943,Khammam,2018,September,143465
1053,Khammam,2018,October,127645
1163,Khammam,2018,November,99070
1273,Khammam,2018,December,135600
64,Komaram Bheem Asifabad,2018,January,2863
174,Komaram Bheem Asifabad,2018,February,2736
284,Komaram Bheem Asifabad,2018,March,1826
394,Komaram Bheem Asifabad,2018,April,868
504,Komaram Bheem Asifabad,2018,May,793
614,Komaram Bheem Asifabad,2018,June,990
724,Komaram Bheem Asifabad,2018,July,1954
834,Komaram Bheem Asifabad,2018,August,2263
944,Komaram Bheem Asifabad,2018,September,1819
1054,Komaram Bheem Asifabad,2018,October,2525
1164,Komaram Bheem Asifabad,2018,November,1741
1274,Komaram Bheem Asifabad,2018,December,2176
65,Mahabubabad ,2018,January,14000
175,Mahabubabad ,2018,February,14230
285,Mahabubabad ,2018,March,13110
395,Mahabubabad ,2018,April,12915
505,Mahabubabad ,2018,May,12865
615,Mahabubabad ,2018,June,13910
725,Mahabubabad ,2018,July,13970
835,Mahabubabad ,2018,August,13200
945,Mahabubabad ,2018,September,13420
1055,Mahabubabad ,2018,October,13550
1165,Mahabubabad ,2018,November,13700
1275,Mahabubabad ,2018,December,17125
66,Mahbubnagar,2018,January,156153
176,Mahbubnagar,2018,February,788083
286,Mahbubnagar,2018,March,166863
396,Mahbubnagar,2018,April,196061
506,Mahbubnagar,2018,May,193478
616,Mahbubnagar,2018,June,165553
726,Mahbubnagar,2018,July,161841
836,Mahbubnagar,2018,August,169154
946,Mahbubnagar,2018,September,167833
1056,Mahbubnagar,2018,October,193152
1166,Mahbubnagar,2018,November,295910
1276,Mahbubnagar,2018,December,198227
67,Mancherial,2018,January,71955
177,Mancherial,2018,February,38599
287,Mancherial,2018,March,20749
397,Mancherial,2018,April,38483
507,Mancherial,2018,May,26179
617,Mancherial,2018,June,31667
727,Mancherial,2018,July,27937
837,Mancherial,2018,August,31861
947,Mancherial,2018,September,23141
1057,Mancherial,2018,October,30740
1167,Mancherial,2018,November,25197
1277,Mancherial,2018,December,31496
68,Medak ,2018,January,100000
178,Medak ,2018,February,1000000
288,Medak ,2018,March,600000
398,Medak ,2018,April,200000
508,Medak ,2018,May,300000
618,Medak ,2018,June,500000
728,Medak ,2018,July,150000
838,Medak ,2018,August,50000
948,Medak ,2018,September,100000
1058,Medak ,2018,October,300000
1168,Medak ,2018,November,200000
1278,Medak ,2018,December,400000
69,Nagarkurnool ,2018,January,228812
179,Nagarkurnool ,2018,February,286258
289,Nagarkurnool ,2018,March,184508
399,Nagarkurnool ,2018,April,174592
509,Nagarkurnool ,2018,May,183697
619,Nagarkurnool ,2018,June,180010
729,Nagarkurnool ,2018,July,93450
839,Nagarkurnool ,2018,August,118010
949,Nagarkurnool ,2018,September,118449
1059,Nagarkurnool ,2018,October,201050
1169,Nagarkurnool ,2018,November,121452
1279,Nagarkurnool ,2018,December,198637
70,Nalgonda,2018,January,36205
180,Nalgonda,2018,February,9971
290,Nalgonda,2018,March,9677
400,Nalgonda,2018,April,9779
510,Nalgonda,2018,May,10241
620,Nalgonda,2018,June,9066
730,Nalgonda,2018,July,9668
840,Nalgonda,2018,August,10135
950,Nalgonda,2018,September,21365
1060,Nalgonda,2018,October,22332
1170,Nalgonda,2018,November,5422
1280,Nalgonda,2018,December,6777
71,Nirmal,2018,January,480241
181,Nirmal,2018,February,335447
291,Nirmal,2018,March,328099
401,Nirmal,2018,April,368645
511,Nirmal,2018,May,342650
621,Nirmal,2018,June,355197
731,Nirmal,2018,July,335356
841,Nirmal,2018,August,313910
951,Nirmal,2018,September,293859
1061,Nirmal,2018,October,373291
1171,Nirmal,2018,November,289169
1281,Nirmal,2018,December,361461
72,Nizamabad,2018,January,2495
182,Nizamabad,2018,February,7152
292,Nizamabad,2018,March,2903
402,Nizamabad,2018,April,3550
512,Nizamabad,2018,May,5360
622,Nizamabad,2018,June,1761
732,Nizamabad,2018,July,5882
842,Nizamabad,2018,August,10525
952,Nizamabad,2018,September,475
1062,Nizamabad,2018,October,490
1172,Nizamabad,2018,November,475
1282,Nizamabad,2018,December,355
73,Peddapalli,2018,January,2670
183,Peddapalli,2018,February,2695
293,Peddapalli,2018,March,2325
403,Peddapalli,2018,April,1940
513,Peddapalli,2018,May,1499
623,Peddapalli,2018,June,1580
733,Peddapalli,2018,July,1580
843,Peddapalli,2018,August,1595
953,Peddapalli,2018,September,1475
1063,Peddapalli,2018,October,1545
1173,Peddapalli,2018,November,1655
1283,Peddapalli,2018,December,1695
74,Rajanna Sircilla ,2018,January,2238074
184,Rajanna Sircilla ,2018,February,1021787
294,Rajanna Sircilla ,2018,March,1022669
404,Rajanna Sircilla ,2018,April,833874
514,Rajanna Sircilla ,2018,May,1021952
624,Rajanna Sircilla ,2018,June,320886
734,Rajanna Sircilla ,2018,July,937720
844,Rajanna Sircilla ,2018,August,320952
954,Rajanna Sircilla ,2018,September,818693
1064,Rajanna Sircilla ,2018,October,506563
1174,Rajanna Sircilla ,2018,November,840933
1284,Rajanna Sircilla ,2018,December,950128
75,Sangareddy ,2018,January,254000
185,Sangareddy ,2018,February,540000
295,Sangareddy ,2018,March,158500
405,Sangareddy ,2018,April,162500
515,Sangareddy ,2018,May,157000
625,Sangareddy ,2018,June,93500
735,Sangareddy ,2018,July,108600
845,Sangareddy ,2018,August,205000
955,Sangareddy ,2018,September,125000
1065,Sangareddy ,2018,October,171800
1175,Sangareddy ,2018,November,160000
1285,Sangareddy ,2018,December,134000
76,Siddipet,2018,January,253000
186,Siddipet,2018,February,44000
296,Siddipet,2018,March,164800
406,Siddipet,2018,April,115000
516,Siddipet,2018,May,165200
626,Siddipet,2018,June,104300
736,Siddipet,2018,July,54000
846,Siddipet,2018,August,100000
956,Siddipet,2018,September,55000
1066,Siddipet,2018,October,43000
1176,Siddipet,2018,November,135000
1286,Siddipet,2018,December,50000
77,Wanaparthy ,2018,January,28131
187,Wanaparthy ,2018,February,22341
297,Wanaparthy ,2018,March,20050
407,Wanaparthy ,2018,April,10550
517,Wanaparthy ,2018,May,11502
627,Wanaparthy ,2018,June,19092
737,Wanaparthy ,2018,July,32625
847,Wanaparthy ,2018,August,35860
957,Wanaparthy ,2018,September,32002
1067,Wanaparthy ,2018,October,21234
1177,Wanaparthy ,2018,November,32657
1287,Wanaparthy ,2018,December,20556
78,Warangal (Rural),2018,January,25200
188,Warangal (Rural),2018,February,26300
298,Warangal (Rural),2018,March,26200
408,Warangal (Rural),2018,April,21600
518,Warangal (Rural),2018,May,22100
628,Warangal (Rural),2018,June,23100
738,Warangal (Rural),2018,July,25900
848,Warangal (Rural),2018,August,25700
958,Warangal (Rural),2018,September,25800
1068,Warangal (Rural),2018,October,26000
1178,Warangal (Rural),2018,November,24050
1288,Warangal (Rural),2018,December,30062
79,Warangal (Urban),2018,January,137530
189,Warangal (Urban),2018,February,145750
299,Warangal (Urban),2018,March,140300
409,Warangal (Urban),2018,April,142510
519,Warangal (Urban),2018,May,143425
629,Warangal (Urban),2018,June,135615
739,Warangal (Urban),2018,July,136560
849,Warangal (Urban),2018,August,136760
959,Warangal (Urban),2018,September,138780
1069,Warangal (Urban),2018,October,140948
1179,Warangal (Urban),2018,November,144515
1289,Warangal (Urban),2018,December,180643
80,Yadadri Bhongir,2018,January,2016000
190,Yadadri Bhongir,2018,February,3073872
300,Yadadri Bhongir,2018,March,2836580
410,Yadadri Bhongir,2018,April,692370
520,Yadadri Bhongir,2018,May,781842
630,Yadadri Bhongir,2018,June,577570
740,Yadadri Bhongir,2018,July,671156
850,Yadadri Bhongir,2018,August,526445
960,Yadadri Bhongir,2018,September,819350
1070,Yadadri Bhongir,2018,October,586475
1180,Yadadri Bhongir,2018,November,485208
1290,Yadadri Bhongir,2018,December,606510
81,Adilabad,2019,January,25071
191,Adilabad,2019,February,406177
301,Adilabad,2019,March,14347
411,Adilabad,2019,April,9972
521,Adilabad,2019,May,6997
631,Adilabad,2019,June,9161
741,Adilabad,2019,July,11791
851,Adilabad,2019,August,108173
961,Adilabad,2019,September,37589
1071,Adilabad,2019,October,38184
1181,Adilabad,2019,November,70344
1291,Adilabad,2019,December,38089
82,Bhadradri Kothagudem ,2019,January,283365
192,Bhadradri Kothagudem ,2019,February,229159
302,Bhadradri Kothagudem ,2019,March,225448
412,Bhadradri Kothagudem ,2019,April,349585
522,Bhadradri Kothagudem ,2019,May,275800
632,Bhadradri Kothagudem ,2019,June,9761776
742,Bhadradri Kothagudem ,2019,July,233338
852,Bhadradri Kothagudem ,2019,August,271941
962,Bhadradri Kothagudem ,2019,September,314199
1072,Bhadradri Kothagudem ,2019,October,287432
1182,Bhadradri Kothagudem ,2019,November,298366
1292,Bhadradri Kothagudem ,2019,December,287328
83,Hyderabad,2019,January,1426500
193,Hyderabad,2019,February,983147
303,Hyderabad,2019,March,1009991
413,Hyderabad,2019,April,1045933
523,Hyderabad,2019,May,1305748
633,Hyderabad,2019,June,1262995
743,Hyderabad,2019,July,1094861
853,Hyderabad,2019,August,1121380
963,Hyderabad,2019,September,959930
1073,Hyderabad,2019,October,1240643
1183,Hyderabad,2019,November,1073665
1293,Hyderabad,2019,December,1277569
84,Jagtial ,2019,January,211913
194,Jagtial ,2019,February,215105
304,Jagtial ,2019,March,194090
414,Jagtial ,2019,April,447226
524,Jagtial ,2019,May,500206
634,Jagtial ,2019,June,235363
744,Jagtial ,2019,July,157419
854,Jagtial ,2019,August,151570
964,Jagtial ,2019,September,157564
1074,Jagtial ,2019,October,165070
1184,Jagtial ,2019,November,277630
1294,Jagtial ,2019,December,372959
85,Jangaon ,2019,January,28750
195,Jangaon ,2019,February,28810
305,Jangaon ,2019,March,27300
415,Jangaon ,2019,April,26160
525,Jangaon ,2019,May,26740
635,Jangaon ,2019,June,25820
745,Jangaon ,2019,July,24160
855,Jangaon ,2019,August,27800
965,Jangaon ,2019,September,28640
1075,Jangaon ,2019,October,27840
1185,Jangaon ,2019,November,28410
1295,Jangaon ,2019,December,28460
86,Jayashankar Bhoopalpally,2019,January,197430
196,Jayashankar Bhoopalpally,2019,February,33500
306,Jayashankar Bhoopalpally,2019,March,37500
416,Jayashankar Bhoopalpally,2019,April,38500
526,Jayashankar Bhoopalpally,2019,May,30800
636,Jayashankar Bhoopalpally,2019,June,40500
746,Jayashankar Bhoopalpally,2019,July,45500
856,Jayashankar Bhoopalpally,2019,August,45000
966,Jayashankar Bhoopalpally,2019,September,50500
1076,Jayashankar Bhoopalpally,2019,October,46000
1186,Jayashankar Bhoopalpally,2019,November,51500
1296,Jayashankar Bhoopalpally,2019,December,45800
87,Jogulamba Gadwal ,2019,January,146441
197,Jogulamba Gadwal ,2019,February,481110
307,Jogulamba Gadwal ,2019,March,155013
417,Jogulamba Gadwal ,2019,April,82334
527,Jogulamba Gadwal ,2019,May,154609
637,Jogulamba Gadwal ,2019,June,155013
747,Jogulamba Gadwal ,2019,July,114951
857,Jogulamba Gadwal ,2019,August,123733
967,Jogulamba Gadwal ,2019,September,131485
1077,Jogulamba Gadwal ,2019,October,152898
1187,Jogulamba Gadwal ,2019,November,128075
1297,Jogulamba Gadwal ,2019,December,182333
88,Kamareddy ,2019,January,42
198,Kamareddy ,2019,February,41
308,Kamareddy ,2019,March,45
418,Kamareddy ,2019,April,41
528,Kamareddy ,2019,May,46
638,Kamareddy ,2019,June,41
748,Kamareddy ,2019,July,50
858,Kamareddy ,2019,August,50
968,Kamareddy ,2019,September,41
1078,Kamareddy ,2019,October,46
1188,Kamareddy ,2019,November,46
1298,Kamareddy ,2019,December,45
89,Karimnagar ,2019,January,10285
199,Karimnagar ,2019,February,6480
309,Karimnagar ,2019,March,6634
419,Karimnagar ,2019,April,5623
529,Karimnagar ,2019,May,3393
639,Karimnagar ,2019,June,3871
749,Karimnagar ,2019,July,5192
859,Karimnagar ,2019,August,5480
969,Karimnagar ,2019,September,8735
1079,Karimnagar ,2019,October,6799
1189,Karimnagar ,2019,November,7101
1299,Karimnagar ,2019,December,7898
90,Khammam,2019,January,123550
200,Khammam,2019,February,98471
310,Khammam,2019,March,91340
420,Khammam,2019,April,135920
530,Khammam,2019,May,130971
640,Khammam,2019,June,127270
750,Khammam,2019,July,103260
860,Khammam,2019,August,111374
970,Khammam,2019,September,133754
1080,Khammam,2019,October,128625
1190,Khammam,2019,November,104380
1300,Khammam,2019,December,124525
91,Komaram Bheem Asifabad,2019,January,2476
201,Komaram Bheem Asifabad,2019,February,1449
311,Komaram Bheem Asifabad,2019,March,1212
421,Komaram Bheem Asifabad,2019,April,663
531,Komaram Bheem Asifabad,2019,May,493
641,Komaram Bheem Asifabad,2019,June,506
751,Komaram Bheem Asifabad,2019,July,1287
861,Komaram Bheem Asifabad,2019,August,2572
971,Komaram Bheem Asifabad,2019,September,1629
1081,Komaram Bheem Asifabad,2019,October,1943
1191,Komaram Bheem Asifabad,2019,November,2176
1301,Komaram Bheem Asifabad,2019,December,2783
92,Mahabubabad ,2019,January,13480
202,Mahabubabad ,2019,February,13545
312,Mahabubabad ,2019,March,13490
422,Mahabubabad ,2019,April,12980
532,Mahabubabad ,2019,May,11970
642,Mahabubabad ,2019,June,11460
752,Mahabubabad ,2019,July,13470
862,Mahabubabad ,2019,August,12190
972,Mahabubabad ,2019,September,13210
1082,Mahabubabad ,2019,October,12260
1192,Mahabubabad ,2019,November,12470
1302,Mahabubabad ,2019,December,12360
93,Mahbubnagar,2019,January,168082
203,Mahbubnagar,2019,February,798949
313,Mahbubnagar,2019,March,173658
423,Mahbubnagar,2019,April,183268
533,Mahbubnagar,2019,May,175202
643,Mahbubnagar,2019,June,175853
753,Mahbubnagar,2019,July,100398
863,Mahbubnagar,2019,August,104787
973,Mahbubnagar,2019,September,141387
1083,Mahbubnagar,2019,October,130227
1193,Mahbubnagar,2019,November,234066
1303,Mahbubnagar,2019,December,148938
94,Mancherial,2019,January,18420
204,Mancherial,2019,February,26325
314,Mancherial,2019,March,16253
424,Mancherial,2019,April,23026
534,Mancherial,2019,May,26616
644,Mancherial,2019,June,24593
754,Mancherial,2019,July,22303
864,Mancherial,2019,August,21191
974,Mancherial,2019,September,24079
1084,Mancherial,2019,October,20867
1194,Mancherial,2019,November,29302
1304,Mancherial,2019,December,16835
95,Medak ,2019,January,400000
205,Medak ,2019,February,600000
315,Medak ,2019,March,1000000
425,Medak ,2019,April,650000
535,Medak ,2019,May,400000
645,Medak ,2019,June,300000
755,Medak ,2019,July,350000
865,Medak ,2019,August,349900
975,Medak ,2019,September,350400
1085,Medak ,2019,October,350000
1195,Medak ,2019,November,351560
1305,Medak ,2019,December,350710
96,Mulugu,2019,January,0
206,Mulugu,2019,February,159640
316,Mulugu,2019,March,156610
426,Mulugu,2019,April,152570
536,Mulugu,2019,May,154550
646,Mulugu,2019,June,163480
756,Mulugu,2019,July,167700
866,Mulugu,2019,August,171050
976,Mulugu,2019,September,172900
1086,Mulugu,2019,October,172500
1196,Mulugu,2019,November,173700
1306,Mulugu,2019,December,175100
97,Nagarkurnool ,2019,January,228812
207,Nagarkurnool ,2019,February,286258
317,Nagarkurnool ,2019,March,184508
427,Nagarkurnool ,2019,April,121460
537,Nagarkurnool ,2019,May,184372
647,Nagarkurnool ,2019,June,184508
757,Nagarkurnool ,2019,July,93450
867,Nagarkurnool ,2019,August,118010
977,Nagarkurnool ,2019,September,175712
1087,Nagarkurnool ,2019,October,196160
1197,Nagarkurnool ,2019,November,121425
1307,Nagarkurnool ,2019,December,198637
98,Nalgonda,2019,January,21284
208,Nalgonda,2019,February,13697
318,Nalgonda,2019,March,8467
428,Nalgonda,2019,April,7202
538,Nalgonda,2019,May,26338
648,Nalgonda,2019,June,5558
758,Nalgonda,2019,July,19783
868,Nalgonda,2019,August,7473
978,Nalgonda,2019,September,5230
1088,Nalgonda,2019,October,5290
1198,Nalgonda,2019,November,7177
1308,Nalgonda,2019,December,13419
99,Narayanapet,2019,January,
209,Narayanapet,2019,February,
319,Narayanapet,2019,March,
429,Narayanapet,2019,April,
539,Narayanapet,2019,May,
649,Narayanapet,2019,June,
759,Narayanapet,2019,July,68842
869,Narayanapet,2019,August,72249
979,Narayanapet,2019,September,62841
1089,Narayanapet,2019,October,58213
1199,Narayanapet,2019,November,62750
1309,Narayanapet,2019,December,64355
100,Nirmal,2019,January,313675
210,Nirmal,2019,February,443898
320,Nirmal,2019,March,424964
430,Nirmal,2019,April,327971
540,Nirmal,2019,May,149705
650,Nirmal,2019,June,349747
760,Nirmal,2019,July,359495
870,Nirmal,2019,August,334646
980,Nirmal,2019,September,299827
1090,Nirmal,2019,October,263412
1200,Nirmal,2019,November,253388
1310,Nirmal,2019,December,296050
101,Nizamabad,2019,January,878
211,Nizamabad,2019,February,915
321,Nizamabad,2019,March,938
431,Nizamabad,2019,April,958
541,Nizamabad,2019,May,1193
651,Nizamabad,2019,June,686
761,Nizamabad,2019,July,990
871,Nizamabad,2019,August,1004
981,Nizamabad,2019,September,6572
1091,Nizamabad,2019,October,8849
1201,Nizamabad,2019,November,11950
1311,Nizamabad,2019,December,11400
102,Peddapalli,2019,January,1055
212,Peddapalli,2019,February,1157
322,Peddapalli,2019,March,895
432,Peddapalli,2019,April,942
542,Peddapalli,2019,May,802
652,Peddapalli,2019,June,735
762,Peddapalli,2019,July,1085
872,Peddapalli,2019,August,1505
982,Peddapalli,2019,September,1785
1092,Peddapalli,2019,October,2080
1202,Peddapalli,2019,November,2225
1312,Peddapalli,2019,December,2315
103,Rajanna Sircilla ,2019,January,6188298
213,Rajanna Sircilla ,2019,February,1015550
323,Rajanna Sircilla ,2019,March,1444971
433,Rajanna Sircilla ,2019,April,1148062
543,Rajanna Sircilla ,2019,May,1018131
653,Rajanna Sircilla ,2019,June,1128849
763,Rajanna Sircilla ,2019,July,422961
873,Rajanna Sircilla ,2019,August,586118
983,Rajanna Sircilla ,2019,September,501293
1093,Rajanna Sircilla ,2019,October,646492
1203,Rajanna Sircilla ,2019,November,1259371
1313,Rajanna Sircilla ,2019,December,1472801
104,Sangareddy ,2019,January,144000
214,Sangareddy ,2019,February,148000
324,Sangareddy ,2019,March,747000
434,Sangareddy ,2019,April,205000
544,Sangareddy ,2019,May,133000
654,Sangareddy ,2019,June,347000
764,Sangareddy ,2019,July,467000
874,Sangareddy ,2019,August,466150
984,Sangareddy ,2019,September,468350
1094,Sangareddy ,2019,October,467470
1204,Sangareddy ,2019,November,481720
1314,Sangareddy ,2019,December,478470
105,Siddipet,2019,January,140793
215,Siddipet,2019,February,199549
325,Siddipet,2019,March,204600
435,Siddipet,2019,April,184412
545,Siddipet,2019,May,110500
655,Siddipet,2019,June,1037000
765,Siddipet,2019,July,179320
875,Siddipet,2019,August,190750
985,Siddipet,2019,September,122550
1095,Siddipet,2019,October,191330
1205,Siddipet,2019,November,209130
1315,Siddipet,2019,December,217930
106,Wanaparthy ,2019,January,28131
216,Wanaparthy ,2019,February,22342
326,Wanaparthy ,2019,March,20050
436,Wanaparthy ,2019,April,23749
546,Wanaparthy ,2019,May,20010
656,Wanaparthy ,2019,June,20050
766,Wanaparthy ,2019,July,32625
876,Wanaparthy ,2019,August,35860
986,Wanaparthy ,2019,September,21375
1096,Wanaparthy ,2019,October,21234
1206,Wanaparthy ,2019,November,32657
1316,Wanaparthy ,2019,December,20556
107,Warangal (Rural),2019,January,28700
217,Warangal (Rural),2019,February,28800
327,Warangal (Rural),2019,March,29000
437,Warangal (Rural),2019,April,26900
547,Warangal (Rural),2019,May,24900
657,Warangal (Rural),2019,June,27100
767,Warangal (Rural),2019,July,28600
877,Warangal (Rural),2019,August,31600
987,Warangal (Rural),2019,September,32600
1097,Warangal (Rural),2019,October,31100
1207,Warangal (Rural),2019,November,32150
1317,Warangal (Rural),2019,December,32050
108,Warangal (Urban),2019,January,151545
218,Warangal (Urban),2019,February,157755
328,Warangal (Urban),2019,March,154305
438,Warangal (Urban),2019,April,150425
548,Warangal (Urban),2019,May,143230
658,Warangal (Urban),2019,June,144400
768,Warangal (Urban),2019,July,145440
878,Warangal (Urban),2019,August,148030
988,Warangal (Urban),2019,September,151070
1098,Warangal (Urban),2019,October,147450
1208,Warangal (Urban),2019,November,153880
1318,Warangal (Urban),2019,December,147700
109,Yadadri Bhongir,2019,January,479293
219,Yadadri Bhongir,2019,February,56525
329,Yadadri Bhongir,2019,March,481923
439,Yadadri Bhongir,2019,April,441150
549,Yadadri Bhongir,2019,May,345790
659,Yadadri Bhongir,2019,June,370566
769,Yadadri Bhongir,2019,July,332770
879,Yadadri Bhongir,2019,August,389010
989,Yadadri Bhongir,2019,September,366862
1099,Yadadri Bhongir,2019,October,381860
1209,Yadadri Bhongir,2019,November,365990
1319,Yadadri Bhongir,2019,December,477635
